id,I14
SCCs,5
m,3
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,1,470,95,10,180,300
2,1,510,95,10,180,300
3,2,315,365,10,180,375
4,2,396,275,10,180,330
5,2,396,215,10,180,300
TravelTime Matrix
i,j,time
0,0,0
0,1,20
0,2,31
0,3,0
0,4,18
0,5,34
1,0,20
1,1,0
1,2,46
1,3,21
1,4,30
1,5,46
2,0,31
2,1,46
2,2,0
2,3,35
2,4,43
2,5,59
3,0,0
3,1,21
3,2,35
3,3,0
3,4,18
3,5,34
4,0,18
4,1,30
4,2,43
4,3,18
4,4,0
4,5,21
5,0,34
5,1,46
5,2,59
5,3,34
5,4,21
5,5,0
Distance Matrix
i,j,Distance
0,0,0
0,1,15.45
0,2,30.45
0,3,0.3
0,4,19.12
0,5,31.81
1,0,15.45
1,1,0
1,2,57.04
1,3,21.12
1,4,39.68
1,5,55.67
2,0,30.45
2,1,57.04
2,2,0
2,3,37.75
2,4,57.26
2,5,73.25
3,0,0.3
3,1,21.12
3,2,37.75
3,3,0
3,4,22.78
3,5,38.76
4,0,19.12
4,1,39.68
4,2,57.26
4,3,22.78
4,4,0
4,5,17.72
5,0,31.81
5,1,55.67
5,2,73.25
5,3,38.76
5,4,17.72
5,5,0
