Upperbound Solution for instance I22 iteration 30
SCC;8;Number of TR;31
Maximum commodity time; 555 minutes ;dk;30;;MIP solution time limit;3600 s
SCC;Number of pickups;pickups time
2;1;[750]
3;1;[525]
4;1;[135]
5;2;[735, 825]
6;2;[705, 795]
7;2;[300, 570]
8;2;[150, 690]
9;2;[150, 495]
Routes=;9.0
The Routes tracking was not possible

route 1
Commodities=,[1 3 5]
node,time
1,105
4,135,Int64[]
4,150,Int64[]
4,165,Int64[]
4,180,Int64[]
4,195,Int64[]
4,210,Int64[]
4,225,Int64[]
4,240,Int64[]
4,255,Int64[]
4,270,Int64[]
4,285,Int64[]
4,300,Int64[]
4,315,Int64[]
4,330,Int64[]
4,345,Int64[]
4,360,Int64[]
4,375,Int64[]
4,390,Int64[]
4,405,Int64[]
4,420,Int64[]
4,435,Int64[]
4,450,Int64[]
4,465,[3]
9,495,Int64[]
3,525,[8, 30]
3,540,Int64[]
3,555,Int64[]
3,570,[7]
3,585,Int64[]
3,600,Int64[]
3,615,Int64[]
3,630,Int64[]
3,645,Int64[]
3,660,Int64[]
3,675,Int64[]
3,690,Int64[]
3,705,[5, 10]
3,720,[2]
2,750,Int64[]
2,765,Int64[]
2,780,[12, 24, 25]
2,795,[1, 26, 27]
1,825,[13, 18, 19, 31]
duration=,720

route 2
Commodities=,[9;;]
node,time
1,105
8,150,Int64[]
8,165,Int64[]
8,180,Int64[]
8,195,Int64[]
8,210,Int64[]
8,225,Int64[]
8,240,Int64[]
8,255,Int64[]
8,270,Int64[]
8,285,Int64[]
8,300,Int64[]
8,315,Int64[]
8,330,Int64[]
8,345,Int64[]
8,360,Int64[]
8,375,Int64[]
8,390,Int64[]
8,405,Int64[]
8,420,Int64[]
8,435,Int64[]
8,450,Int64[]
8,465,[3]
8,480,Int64[]
8,495,Int64[]
8,510,[6, 16, 17]
8,525,[8, 30]
8,540,Int64[]
8,555,Int64[]
8,570,[7]
1,615,Int64[]
duration=,510

route 3
Commodities=,[2 4]
node,time
1,120
9,150,Int64[]
9,165,Int64[]
9,180,Int64[]
9,195,Int64[]
9,210,Int64[]
9,225,Int64[]
9,240,Int64[]
9,255,Int64[]
9,270,Int64[]
9,285,Int64[]
9,300,Int64[]
9,315,Int64[]
9,330,Int64[]
9,345,Int64[]
9,360,Int64[]
9,375,Int64[]
9,390,Int64[]
9,405,Int64[]
9,420,Int64[]
9,435,Int64[]
9,450,Int64[]
9,465,[3]
9,480,Int64[]
9,495,Int64[]
3,525,[8, 30]
3,540,Int64[]
3,555,Int64[]
3,570,[7]
3,585,Int64[]
3,600,Int64[]
3,615,Int64[]
3,630,Int64[]
3,645,Int64[]
3,660,Int64[]
3,675,Int64[]
3,690,Int64[]
3,705,[5, 10]
3,720,[2]
2,750,Int64[]
2,765,Int64[]
2,780,[12, 24, 25]
2,795,[1, 26, 27]
1,825,[13, 18, 19, 31]
duration=,705

route 4
Commodities=,[8 18 19]
node,time
1,270
7,300,Int64[]
7,315,Int64[]
7,330,Int64[]
7,345,Int64[]
7,360,Int64[]
7,375,Int64[]
7,390,Int64[]
7,405,Int64[]
7,420,Int64[]
7,435,Int64[]
7,450,Int64[]
7,465,[3]
7,480,Int64[]
7,495,Int64[]
7,510,[6, 16, 17]
1,540,Int64[]
duration=,270

route 5
Commodities=,[13 16 17]
node,time
1,540
7,570,[7]
7,585,Int64[]
7,600,Int64[]
7,615,Int64[]
7,630,Int64[]
7,645,Int64[]
7,660,Int64[]
7,675,Int64[]
7,690,Int64[]
7,705,[5, 10]
7,720,[2]
7,735,[4, 20, 21, 28, 29]
7,750,Int64[]
7,765,Int64[]
7,780,[12, 24, 25]
7,795,[1, 26, 27]
7,810,Int64[]
7,825,[13, 18, 19, 31]
7,840,Int64[]
7,855,Int64[]
7,870,Int64[]
7,885,[11, 14, 15]
1,915,Int64[]
duration=,375

route 6
Commodities=,[14 26 27]
node,time
1,645
8,690,Int64[]
8,705,[5, 10]
8,720,[2]
8,735,[4, 20, 21, 28, 29]
8,750,Int64[]
8,765,Int64[]
8,780,[12, 24, 25]
1,825,[13, 18, 19, 31]
duration=,180

route 7
Commodities=,[6 7 12 22 23 30 31]
node,time
1,675
6,705,[5, 10]
5,735,[4, 20, 21, 28, 29]
1,765,Int64[]
duration=,90

route 8
Commodities=,[11 24 25 28 29]
node,time
1,765
6,795,[1, 26, 27]
5,825,[13, 18, 19, 31]
5,840,Int64[]
5,855,Int64[]
5,870,Int64[]
5,885,[11, 14, 15]
5,900,Int64[]
5,915,Int64[]
5,930,Int64[]
5,945,Int64[]
5,960,Int64[]
5,975,Int64[]
5,990,Int64[]
5,1005,Int64[]
5,1020,Int64[]
5,1035,[9, 22, 23]
1,1065,Int64[]
duration=,300

